Date,Ticker,Type,Quantity,Price per share,Total Amount,Currency,FX Rate
2024-11-26T09:09:45.083352Z,,CASH TOP-UP,,,USD 100,USD,0.0417
2024-11-26T14:30:02.658Z,INTC,BUY - MARKET,4.00681089,USD 24.96,USD 100,USD,0.0416
2024-12-07T05:44:26.092656Z,,CASH TOP-UP,,,USD 99.99,USD,0.0422
2024-12-07T05:45:51.489659Z,,CASH TOP-UP,,,EUR 49.99,EUR,0.0400
2024-12-09T07:04:05.735Z,VUSA,BUY - MARKET,0.44581455,EUR 109.64,EUR 49.99,EUR,0.0400
2024-12-09T14:30:04.738Z,RBRK,BUY - MARKET,1.54551141,USD 63.94,USD 99.99,USD,0.0423
2024-12-31T16:31:12.027441Z,VUSA,DIVIDEND,,,EUR 0.13,EUR,0.0398
2025-04-10T16:48:58.806984Z,VUSA,DIVIDEND,,,EUR 0.12,EUR,0.0400
2025-07-09T12:06:23.605069Z,VUSA,DIVIDEND,,,EUR 0.11,EUR,0.0407
2025-08-12T13:30:01.011Z,RBRK,SELL - MARKET,0.7727557,USD 86.51,USD 66.84,USD,0.0476
2025-08-19T11:16:06.785252Z,,CASH WITHDRAWAL,,,USD -66,USD,0.0479
2025-08-19T13:30:00.932Z,RBRK,SELL - MARKET,0.38637786,USD 86.60,USD 32.11,USD,0.0479
2025-10-03T16:41:52.678050Z,VUSA,DIVIDEND,,,EUR 0.11,EUR,0.0414
2025-10-20T13:30:17.995Z,INTC,SELL - MARKET,1.00170272,USD 37.58,USD 37.63,USD,0.0481
