Date acquired,Date sold,Symbol,Quantity,Cost basis,Gross proceeds,Gross PnL,Fees,Net PnL,Currency
2021-12-06,2024-03-02,BTC,0.00365364,176.59,223.61,47.02,3.08,43.94,USD
2021-12-06,2024-03-02,BTC,0.00090253,43.64,55.24,11.60,1.32,10.28,USD
2021-12-06,2024-03-02,BTC,0.00249612,120.42,152.77,32.35,5.22,27.13,USD
2021-12-06,2024-03-05,BTC,0.00327605,158.03,215.89,57.86,7.01,50.85,USD
2021-12-06,2024-03-26,BTC,0.00313161,151.07,217.08,66.01,6.80,59.21,USD
2024-09-11,2024-10-31,SUI,0.34538185,0.00,0.67,0.67,0.33,0.34,USD
2024-09-11,2024-10-31,SUI,0.3455276,0.00,0.67,0.67,0.33,0.34,USD
2024-09-11,2024-10-31,SUI,0.34557876,0.00,0.67,0.67,0.33,0.34,USD
2024-09-11,2024-10-31,SUI,0.345516,0.00,0.68,0.68,0.33,0.35,USD
2024-09-11,2024-10-31,SEI,1.52631199,0.00,0.58,0.58,0.33,0.25,USD
2024-09-11,2024-10-31,SEI,1.52694553,0.00,0.58,0.58,0.33,0.25,USD
2024-09-11,2024-10-31,SEI,1.52783465,0.00,0.58,0.58,0.33,0.25,USD
2024-09-11,2024-10-31,SEI,1.52849552,0.00,0.58,0.58,0.32,0.26,USD
2024-09-11,2024-10-31,ROSE,5.72156097,0.00,0.37,0.37,0.01,0.36,USD
2024-09-11,2024-10-31,ROSE,5.71977062,0.00,0.37,0.37,0.01,0.36,USD
2024-09-11,2024-10-31,ROSE,5.71546107,0.00,0.36,0.36,0.01,0.35,USD
2024-09-11,2024-10-31,BONK,25997.6668,0.00,0.52,0.52,0.01,0.51,USD
2024-09-11,2024-10-31,BONK,26014.4459,0.00,0.51,0.51,0.02,0.49,USD
2024-09-11,2024-10-31,FLOKI,3554.939495,0.00,0.48,0.48,0.43,0.05,USD
2024-09-11,2024-10-31,FLOKI,3552.958892,0.00,0.48,0.48,0.43,0.05,USD
2024-09-11,2024-10-31,FLOKI,3554.619944,0.00,0.49,0.49,0.44,0.05,USD
2021-12-06,2024-11-07,BTC,0.00179665,86.67,135.06,48.39,4.66,43.73,USD
2021-12-06,2024-11-18,BTC,0.00186826,90.13,167.32,77.19,6.95,70.24,USD
2021-12-06,2024-11-21,BTC,0.00168143,81.11,163.00,81.89,6.57,75.32,USD
2021-12-06,2024-12-07,BTC,0.00151329,73.00,148.50,75.50,5.96,69.54,USD
2021-12-06,2024-12-15,BTC,0.00211177,101.87,215.02,113.15,6.36,106.79,USD
2021-12-06,2024-12-15,BTC,0.00129314,62.93,131.67,68.74,3.91,64.83,USD
2021-12-06,2024-12-15,BTC,0.00102147,49.71,104.00,54.29,3.09,51.20,USD
2021-12-06,2024-12-24,BTC,0.00229832,111.84,222.62,110.78,9.00,101.78,USD
2021-12-06,2025-01-02,BTC,0.00344748,167.76,325.92,158.16,13.31,144.85,USD
2021-12-06,2025-01-02,BTC,0.00086187,41.94,82.82,40.88,3.36,37.52,USD
2024-09-11,2025-02-23,CRO,5.59167237,0.00,0.46,0.46,0.42,0.04,USD
2024-09-11,2025-02-23,CRO,5.59147105,0.00,0.46,0.46,0.42,0.04,USD
2024-09-11,2025-02-23,CRO,5.59166082,0.00,0.47,0.47,0.42,0.05,USD
2021-12-06,2025-02-23,BTC,0.00152122,74.03,143.90,69.87,4.43,65.44,USD
2021-12-06,2025-08-19,BTC,0.00016153,7.86,18.46,10.60,2.39,8.21,USD
